VariableID:223:3900	Mapped	Text/text-on-action	COLOR	alias:VariableID:208:3696
VariableID:223:3901	Mapped	Text/text-on-primary	COLOR	alias:VariableID:208:3693
VariableID:223:3902	Mapped	Text/text-on-inverse	COLOR	alias:VariableID:208:3693
VariableID:223:3903	Mapped	Text/text-on-inverse-muted	COLOR	alias:VariableID:208:3694
VariableID:223:3904	Mapped	Icon/icon-default	COLOR	alias:VariableID:208:3689
VariableID:223:3905	Mapped	Icon/icon-muted	COLOR	alias:VariableID:208:3690
VariableID:223:3906	Mapped	Icon/icon-on-action	COLOR	alias:VariableID:208:3696
VariableID:223:3907	Mapped	Icon/icon-on-primary	COLOR	alias:VariableID:208:3693
VariableID:223:3908	Mapped	Icon/icon-brand	COLOR	alias:VariableID:208:3712
VariableID:223:3909	Mapped	Surface/surface-page	COLOR	alias:VariableID:164:4088
VariableID:223:3910	Mapped	Surface/surface-default	COLOR	alias:VariableID:164:4089
VariableID:223:3911	Mapped	Surface/surface-subtle-info	COLOR	alias:VariableID:164:4090
VariableID:223:3912	Mapped	Surface/surface-subtle-accent	COLOR	alias:VariableID:164:4091
VariableID:223:3913	Mapped	Surface/surface-subtle-neutral	COLOR	alias:VariableID:164:4092
VariableID:223:3914	Mapped	Surface/surface-inverse	COLOR	alias:VariableID:166:4093
VariableID:223:3915	Mapped	Surface/surface-badge	COLOR	alias:VariableID:166:4095
VariableID:223:3916	Mapped	Surface/surface-action	COLOR	alias:VariableID:208:3698
VariableID:223:3917	Mapped	Surface/surface-action-hover	COLOR	alias:VariableID:208:3699
VariableID:223:3918	Mapped	Surface/surface-primary	COLOR	alias:VariableID:208:3700
VariableID:223:3919	Mapped	Surface/surface-primary-hover	COLOR	alias:VariableID:208:3701
VariableID:223:3921	Mapped	Surface/surface-inverse-action	COLOR	alias:VariableID:208:3703
VariableID:223:3922	Mapped	Surface/surface-disabled	COLOR	alias:VariableID:208:3704
VariableID:223:3923	Mapped	Surface/surface-info	COLOR	alias:VariableID:166:4097
VariableID:230:3924	Mapped	Border/default	COLOR	alias:VariableID:208:3707
VariableID:230:3925	Mapped	Border/strong	COLOR	alias:VariableID:208:3708
